year;month;day;temp_max;temp_min;was_raining_previous_day
2021;07;11;27;17;0
2021;07;12;31;19;1
2021;07;13;30;18;1
2021;07;14;32;19;1
2021;07;15;30;19;1
2021;07;16;31;22;1
2021;07;17;30;20;1
2021;07;18;27;20;0
2021;07;19;24;16;0
2021;07;20;22;15;0
2021;07;21;22;16;0
2021;07;22;24;14;0
2021;07;23;24;17;0
2021;07;24;27;19;0
2021;07;25;29;19;1
2021;07;26;30;21;1
2021;07;27;30;19;0
2021;07;28;29;18;0
2021;07;29;27;17;0
2021;07;30;26;19;1
2021;07;31;25;18;1
2021;08;01;23;16;1
2021;08;02;23;14;0
2021;08;03;24;14;1
2021;08;04;25;17;1
2021;08;05;17;14;1
2021;08;06;15;14;0
2021;08;07;23;11;0
2021;08;08;23;16;1
2021;08;09;24;16;0
2021;08;10;25;17;1
2021;08;11;23;16;0
2021;08;12;24;15;0
2021;08;13;27;16;1
2021;08;14;28;18;0
2021;08;15;24;18;1
2021;08;16;27;18;1
2021;08;17;20;16;0
2021;08;18;17;14;0
2021;08;19;20;16;0
2021;08;20;21;17;0
2021;08;21;21;14;0
2021;08;22;24;15;1
2021;08;23;17;15;1
2021;08;24;17;12;0
2021;08;25;18;10;1
2021;08;26;18;11;0
2021;08;27;19;13;1
2021;08;28;14;12;1
2021;08;29;14;12;1
2021;08;30;18;13;0
2021;08;31;18;13;1
2021;09;01;18;12;0
2021;09;02;18;10;0
2021;09;03;22;10;0
2021;09;04;17;8;0
2021;09;05;18;8;0
2021;09;06;20;8;0
2021;09;07;20;10;0
2021;09;08;24;12;0
2021;09;09;29;15;0
2021;09;10;29;14;0
2021;09;11;26;14;0
2021;09;12;24;16;0
2021;09;13;22;17;0
2021;09;14;21;15;0
2021;09;15;24;14;0
2021;09;16;17;15;1
2021;09;17;17;14;1
2021;09;18;13;8;1
2021;09;19;8;6;0
2021;09;20;10;7;0
2021;09;21;13;6;0
2021;09;22;15;8;0
2021;09;23;16;7;0
2021;09;24;13;10;0
2021;09;25;18;12;0
2021;09;26;19;10;0
2021;09;27;19;9;0
2021;09;28;16;9;0
2021;09;29;19;8;1
2021;09;30;14;11;0
2021;10;01;17;8;0
2021;10;02;21;8;0
2021;10;03;19;11;0
2021;10;04;20;10;0
2021;10;05;19;10;0
2021;10;06;18;11;0
2021;10;07;17;10;0
2021;10;08;16;5;0
2021;10;09;16;4;0
2021;10;10;15;4;0
2021;10;11;13;3;0
2021;10;12;11;5;0
2021;10;13;11;4;0
2021;10;14;11;2;0
2021;10;15;14;8;0
2021;10;16;12;7;0
2021;10;17;12;8;1
2021;10;18;9;7;0
2021;10;19;10;4;1
2021;10;20;16;10;0
2021;10;21;18;12;0
2021;10;22;10;6;0
2021;10;23;10;5;0
2021;10;24;10;3;0
2021;10;25;12;3;0
2021;10;26;11;4;0
2021;10;27;13;7;0
2021;10;28;17;8;0
2021;10;29;19;8;0
2021;10;30;15;7;0
2021;10;31;17;9;0
2021;11;01;16;7;0
2021;11;02;14;6;0
2021;11;03;12;7;0
2021;11;04;13;7;0
2021;11;05;10;7;0
2021;11;06;11;6;0
2021;11;07;10;6;0
2021;11;08;8;5;0
2021;11;09;6;2;0
2021;11;10;10;2;0
2021;11;11;9;4;0
2021;11;12;11;5;0
2021;11;13;10;5;0
2021;11;14;9;4;0
2021;11;15;10;3;0
2021;11;16;10;3;0
2021;11;17;10;4;0
2021;11;18;7;6;1
2021;11;19;10;7;0
2021;11;20;11;9;0
2021;11;21;9;8;1
2021;11;22;7;3;0
2021;11;23;4;0;0
2021;11;24;7;3;0
2021;11;25;6;2;0
2021;11;26;4;1;1
2021;11;27;3;2;1
2021;11;28;3;1;1
2021;11;29;2;1;1
2021;11;30;1;0;1
2021;12;01;5;0;0
2021;12;02;6;1;0
2021;12;03;1;0;0
2021;12;04;1;0;1
2021;12;05;1;0;1
2021;12;06;0;-1;1
2021;12;07;-1;-2;0
2021;12;08;-2;-5;0
2021;12;09;0;-5;1
2021;12;10;1;0;0
2021;12;11;0;-1;1
2021;12;12;1;-1;0
2021;12;13;0;-1;0
2021;12;14;1;0;0
2021;12;15;2;1;0
2021;12;16;5;2;0
2021;12;17;3;0;0
2021;12;18;3;1;0
2021;12;19;5;2;0
2021;12;20;2;-2;0
2021;12;21;-1;-3;0
2021;12;22;-1;-3;0
2021;12;23;0;-2;1
2021;12;24;5;-1;0
2021;12;25;0;-6;0
2021;12;26;-3;-7;0
2021;12;27;-1;-8;0
